"","tag","avg.age","age.sd","age.min","max.age","min.calendar.year"
"1","EL002",30.5,17.464249196573,1,60,1956
"2","EL003",66,37.9605057922046,1,131,1885
"3","EL004",62.5,35.939764421413,1,124,1892
"4","EL005",33.5,19.1963538204525,1,66,1950
"5","EL008",38.5,22.0831761000692,1,76,1940
"6","EL011",114.5,65.9621103361619,1,228,1788
"7","EL012",19,10.8243552540863,1,37,1979
"8","EL013",55.5,31.8982758154732,1,110,1906
"9","EL016",84.5,48.6415460280612,1,168,1848
"10","ELC003",33.5,19.1963538204525,1,66,1950
"11","ELC004",27.5,15.7321327225523,1,54,1962
"12","ELC005",35,20.0624026477389,1,69,1947
"13","ELC007",87.5,50.3736041990247,1,174,1842
"14","ELC009",57.5,33.0529877620768,1,114,1902
"15","ELC010",38,21.7944947177034,1,75,1941
"16","ELC011",66,37.9605057922046,1,131,1885
"17","ELC012",75,43.1566912540802,1,149,1867
"18","ELC013",53.5,30.7435630119,1,106,1910
"19","ELC014",64,36.8057966449127,1,127,1889
"20","ELC015",57.5,33.0529877620768,1,114,1902
"21","ELC017",56,32.1869538788622,1,111,1905
"22","ELC018",39.5,22.6605383872493,1,78,1938
"23","ELC019",28,16.0208197875972,1,55,1961
"24","ELC020",46.5,26.7020598456374,1,92,1924
"25","ELC021",14,7.93725393319377,1,27,1989
"26","ELC022",44,25.2586618806302,1,87,1929
"27","ELC023",26,14.8660687473185,1,51,1965
"28","ELC024",37,21.2171314429323,1,73,1943
"29","ELC025",41,23.5265807120372,1,81,1935
"30","ELC027",56,32.1869538788622,1,111,1905
"31","ELC029",45,25.8360213655276,1,89,1927
"32","ELC030",30,17.1755640373177,1,59,1957
"33","ELC031",45.5,26.1247009552263,1,90,1926
"34","ELC032",45.5,26.1247009552263,1,90,1926
"35","ELC033",39,22.3718573211971,1,77,1939
"36","ELC034",17,9.66953980290686,1,33,1983
"37","ELC035",29.5,16.8868785353205,1,58,1958
"38","ELC036",37,21.2171314429323,1,73,1943
"39","ELC037",21,11.9791485507109,1,41,1975
"40","ELC038",21.5,12.2678441463853,1,42,1974
"41","ELC039",31,17.7529340298066,1,61,1955
"42","ELC040",50,28.7228132326901,1,99,1917
"43","ELD002",36,20.6397674405503,1,71,1945
"44","ELD004",16,9.0921211313239,1,31,1985
"45","ELD005",20.5,11.6904519445001,1,40,1976
"46","ELD006",37.5,21.5058131676066,1,74,1942
"47","ELD009",14.5,8.22597511950204,1,28,1988
"48","ELD010",46.5,26.7020598456374,1,92,1924
"49","ELD012",24.5,14,1,48,1968
"50","ELD013",20.5,11.6904519445001,1,40,1976
"51","ELD014",35.5,20.3510851471529,1,70,1946
"52","ELD016",22,12.5565388012249,1,43,1973
"53","ELD017",17.5,9.9582461641931,1,34,1982
"54","ELD018",52,29.8775277870621,1,103,1913
"55","ELD020",37,21.2171314429323,1,73,1943
"56","ELD022",58,33.3416656252603,1,115,1901
"57","ELD023",43,24.6813019645777,1,85,1931
"58","ELD024",46.5,26.7020598456374,1,92,1924
"59","ELD026",37.5,21.5058131676066,1,74,1942
"60","ELD027",28.5,16.3095064303001,1,56,1960
"61","ELD028",60,34.4963766213207,1,119,1897
"62","ELD029",45.5,26.1247009552263,1,90,1926
"63","ELD030",16.5,9.38083151964686,1,32,1984
"64","ELD031",14,7.93725393319377,1,27,1989
"65","ELD032",43.5,24.9699819783675,1,86,1930
"66","ELD033",14,7.93725393319377,1,27,1989
"67","ELD034",40,22.949219304078,1,79,1937
"68","ELD035",13.5,7.64852927038918,1,26,1990
"69","ELD036",31.5,18.0416185526687,1,62,1954
"70","ELD037",19,10.8243552540863,1,37,1979
"71","ELD038",44.5,25.5473416751463,1,88,1928
"72","ELD039",32.5,18.6189867250253,1,64,1952
"73","ELD040",36.5,20.9284495364563,1,72,1944
"74","ELD042",32.5,18.6189867250253,1,64,1952
"75","ELD043",19,10.8243552540863,1,37,1979
"76","ELD044",30.5,17.464249196573,1,60,1956
"77","ELD045",15,8.5146931829632,1,29,1987
"78","ELD047",11.5,6.49358657959272,1,22,1994
"79","ELD048",47,26.9907391525316,1,93,1923
"80","ELD050",24,13.7113092008021,1,47,1969
"81","ELD051",56.5,32.4756318901829,1,112,1904
"82","ELD053",27.5,15.7321327225523,1,54,1962
"83","ELD054",14.5,8.22597511950204,1,28,1988
"84","ELD057",37.5,21.5058131676066,1,74,1942
"85","ELD059",29,16.5981926726978,1,57,1959
"86","ELD060",33.5,19.1963538204525,1,66,1950
"87","ELD063",13.5,7.64852927038918,1,26,1990
"88","ELD064",55.5,31.8982758154732,1,110,1906
"89","ELD066",41.5,23.815261213488,1,82,1934
"90","ELD067",47.5,27.2794183711212,1,94,1922
"91","ELD068",22,12.5565388012249,1,43,1973
"92","ELD069",27.5,15.7321327225523,1,54,1962
"93","ELD070",20.5,11.6904519445001,1,40,1976
"94","ELD071",34,19.485036994234,1,67,1949
"95","ELD072",24.5,14,1,48,1968
"96","ELD073",18,10.2469507659596,1,35,1981
"97","ELG002",49.5,28.4341344162259,1,98,1918
"98","ELG003",61.5,35.3624094201738,1,122,1894
"99","ELG004",39,22.3718573211971,1,77,1939
"100","ELG009",14,7.93725393319377,1,27,1989
"101","ELG010",18,10.2469507659596,1,35,1981
"102","ELG011",68.5,39.4038915167863,1,136,1880
"103","ELG012",29.5,16.8868785353205,1,58,1958
"104","ELG014",40.5,23.2379000772445,1,80,1936
"105","ELG015",26.5,15.1547572288924,1,52,1964
"106","ELG017",50,28.7228132326901,1,99,1917
"107","ELG019",56.5,32.4756318901829,1,112,1904
"108","ELG020",11,6.20483682299543,1,21,1995
"109","ELG021",66,37.9605057922046,1,131,1885
"110","ELG022",84,48.3528696149463,1,167,1849
"111","ELG023",31,17.7529340298066,1,61,1955
"112","ELG024",22.5,12.8452325786651,1,44,1972
"113","ELG027",19,10.8243552540863,1,37,1979
"114","ELG028",18,10.2469507659596,1,35,1981
"115","ELG029",22,12.5565388012249,1,43,1973
"116","ELG031",42.5,24.3926218353009,1,84,1932
"117","ELG032",24.5,14,1,48,1968
"118","ELG033",18,10.2469507659596,1,35,1981
"119","ELG034",27.5,15.7321327225523,1,54,1962
"120","ELG035",30.5,17.464249196573,1,60,1956
"121","ELG036",20,11.4017542509914,1,39,1977
"122","ELG037",33.5,19.1963538204525,1,66,1950
"123","ELG039",34.5,19.7737199332852,1,68,1948
"124","ELG040",24.5,14,1,48,1968
"125","ELG041",56,32.1869538788622,1,111,1905
"126","ELG042",34.5,19.7737199332852,1,68,1948
"127","ELG043",24,13.7113092008021,1,47,1969
"128","ELG044",55.5,31.8982758154732,1,110,1906
"129","ELG045",26,14.8660687473185,1,51,1965
"130","ELG046",26.5,15.1547572288924,1,52,1964
"131","ELG047",36,20.6397674405503,1,71,1945
"132","ELG048",39,22.3718573211971,1,77,1939
"133","ELG049",17.5,9.9582461641931,1,34,1982
"134","ELG050",16.5,9.38083151964686,1,32,1984
"135","ELG051",22.5,12.8452325786651,1,44,1972
"136","ELG052",31.5,18.0416185526687,1,62,1954
"137","ELG054",25.5,14.5773797371133,1,50,1966
"138","ELG055",22.5,12.8452325786651,1,44,1972
"139","ELG056",17.5,9.9582461641931,1,34,1982
"140","ELG057",26,14.8660687473185,1,51,1965
"141","ELG058",30.5,17.464249196573,1,60,1956
"142","ELG059",26,14.8660687473185,1,51,1965
"143","ELG060",17,9.66953980290686,1,33,1983
"144","ELG061",15,8.5146931829632,1,29,1987
"145","ELG062",32,18.3303027798234,1,63,1953
"146","ELG063",47,26.9907391525316,1,93,1923
"147","ELG064",13.5,7.64852927038918,1,26,1990
"148","ELG065",19.5,11.1130553854464,1,38,1978
"149","ELG066",17.5,9.9582461641931,1,34,1982
"150","ELG067",32.5,18.6189867250253,1,64,1952
"151","ELG068",36.5,20.9284495364563,1,72,1944
"152","ELG069",18,10.2469507659596,1,35,1981
"153","ELG070",15,8.5146931829632,1,29,1987
"154","ELG071",48,27.5680975041804,1,95,1921
"155","ELG072",80.5,46.3321342770508,1,160,1856
"156","ELG073",43,24.6813019645777,1,85,1931
"157","ELG074",17.5,9.9582461641931,1,34,1982
"158","ELG075",19,10.8243552540863,1,37,1979
"159","ELG1",6.5,3.60555127546399,1,12,2004
